actual_id,predicted_id,actual,predicted,count
0,0,Brindavan,Brindavan,16
0,2,Brindavan,Gir,2
0,4,Brindavan,HF,2
0,6,Brindavan,Haryana,3
0,7,Brindavan,Jersey_Cross,1
0,10,Brindavan,Kangreze,1
0,16,Brindavan,Sahiwal,1
1,1,Cattle_photos,Cattle_photos,10
2,0,Gir,Brindavan,1
2,2,Gir,Gir,12
2,14,Gir,Rathi,1
2,15,Gir,Red_Sindhi,2
2,16,Gir,Sahiwal,3
3,5,Gir_Cross,HF_Cross,1
4,0,HF,Brindavan,1
4,2,HF,Gir,1
4,14,HF,Rathi,1
4,15,HF,Red_Sindhi,2
4,18,HF,Tharparkar,1
5,3,HF_Cross,Gir_Cross,1
5,5,HF_Cross,HF_Cross,1
5,15,HF_Cross,Red_Sindhi,1
6,6,Haryana,Haryana,5
6,10,Haryana,Kangreze,1
7,7,Jersey_Cross,Jersey_Cross,2
8,8,Kangeyam,Kangeyam,2
8,17,Kangeyam,Sindhi_Cross,1
8,19,Kangeyam,Vechur,1
9,17,Kangeyam_Cross,Sindhi_Cross,1
10,0,Kangreze,Brindavan,1
10,2,Kangreze,Gir,1
10,10,Kangreze,Kangreze,8
11,9,Merithan_Cross,Kangeyam_Cross,1
12,12,Ongloe,Ongloe,1
13,2,Ongloe_Cross,Gir,1
14,14,Rathi,Rathi,2
15,0,Red_Sindhi,Brindavan,1
15,2,Red_Sindhi,Gir,1
15,15,Red_Sindhi,Red_Sindhi,3
15,16,Red_Sindhi,Sahiwal,3
16,0,Sahiwal,Brindavan,1
16,3,Sahiwal,Gir_Cross,1
16,6,Sahiwal,Haryana,1
16,14,Sahiwal,Rathi,1
16,15,Sahiwal,Red_Sindhi,1
16,16,Sahiwal,Sahiwal,4
17,9,Sindhi_Cross,Kangeyam_Cross,1
18,0,Tharparkar,Brindavan,1
19,19,Vechur,Vechur,1
