Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Type_L,Type_M
300.6,310.6,1463,45.5,196,0,False,True
300.5,310.5,1564,38.2,199,0,True,False
300.5,310.6,1411,47.2,201,0,False,False
300.5,310.6,1540,46.7,206,0,True,False
300.5,310.6,1950,20.3,208,0,True,False
300.6,310.7,1339,52.9,0,0,False,True
300.6,310.6,1419,39.6,3,0,False,False
300.5,310.6,1499,45.2,8,0,True,False
300.5,310.6,1368,49.6,10,0,True,False
300.5,310.5,1536,36.2,12,0,True,False
300.5,310.5,1469,42.9,14,0,False,True
300.5,310.5,2633,12.2,17,1,True,False
300.4,310.4,1298,61.4,19,0,True,False
300.4,310.4,1544,36.3,21,0,False,True
300.5,310.5,1403,47.7,24,0,False,False
300.5,310.5,1452,42.9,29,0,True,False
300.6,310.5,1509,43.1,31,0,True,False
300.7,310.6,1474,37.0,33,0,False,True
300.7,310.7,1377,46.7,36,0,False,True
300.8,310.8,1741,27.1,39,0,True,False
300.8,310.8,1460,53.8,41,0,True,False
300.7,310.6,1631,32.6,43,0,False,False
300.7,310.5,1561,33.2,48,0,True,False
300.7,310.6,1572,38.5,50,0,False,True
300.6,310.6,2127,18.7,53,0,True,False
300.6,310.6,1448,44.7,55,0,False,False
300.6,310.7,1543,39.6,60,0,True,False
300.6,310.6,1508,34.8,62,0,True,False
300.6,310.6,1403,50.4,64,0,False,True
300.6,310.6,1454,39.7,67,0,True,False
300.7,310.8,1772,27.3,69,0,True,False
300.7,310.8,1479,49.1,71,0,True,False
300.7,310.9,1723,31.0,73,0,True,False
300.7,310.8,1469,46.4,75,0,False,True
300.6,310.6,1830,26.2,78,0,False,False
300.6,310.6,1497,38.2,83,0,True,False
300.7,310.6,1540,52.7,85,0,True,False
300.6,310.6,1514,39.5,87,0,True,False
300.7,310.6,1654,34.2,89,0,True,False
300.6,310.5,1519,37.0,91,0,False,False
300.7,310.6,1720,30.3,96,0,True,False
300.6,310.5,1470,37.7,98,0,True,False
300.6,310.5,1642,29.9,100,0,True,False
300.7,310.6,2006,19.1,102,0,False,True
300.7,310.6,1505,35.6,105,0,False,True
300.7,310.6,1609,27.6,108,0,False,True
300.7,310.5,1863,22.2,111,0,False,True
300.6,310.4,1401,42.6,114,0,True,False
300.6,310.4,2007,19.8,116,0,True,False
300.6,310.4,1494,47.3,118,0,True,False
300.6,310.4,1457,47.7,120,0,True,False
300.6,310.4,1556,37.7,122,0,True,False
300.6,310.4,1510,42.8,124,0,False,False
300.7,310.5,1567,38.7,129,0,False,False
300.7,310.5,1476,43.1,134,0,False,False
300.8,310.6,1663,30.6,139,0,True,False
300.8,310.5,1409,50.6,141,0,False,True
300.8,310.6,1666,36.2,144,0,True,False
300.7,310.6,1520,45.9,146,0,True,False
300.6,310.5,1644,33.8,148,0,True,False
300.6,310.4,1479,35.6,150,0,False,False
300.6,310.4,1446,49.7,155,0,True,False
300.6,310.4,1407,51.1,157,0,False,True
300.7,310.4,1234,51.7,160,0,True,False
300.8,310.5,1696,29.7,162,0,False,True
300.8,310.6,1384,52.9,165,0,True,False
300.8,310.7,1572,36.2,167,0,False,True
300.8,310.7,1386,42.1,170,0,False,True
300.8,310.7,1461,42.8,173,0,True,False
300.8,310.7,1525,39.4,175,0,True,False
300.7,310.7,1333,61.0,177,0,True,False
300.7,310.6,1505,40.6,179,0,False,False
300.7,310.6,1439,41.7,184,0,False,True
300.7,310.6,1491,43.2,187,0,True,False
300.7,310.6,1488,39.2,189,0,False,True
300.7,310.5,1536,47.4,192,0,True,False
300.7,310.5,1960,21.0,194,0,True,False
300.7,310.5,1594,31.0,196,0,False,True
300.7,310.5,1357,52.6,199,0,True,False
300.7,310.5,1445,41.1,201,0,True,False
300.7,310.4,1543,47.3,203,0,True,False
300.7,310.4,1366,52.6,205,0,True,False
300.7,310.3,1458,40.0,207,0,True,False
300.7,310.4,1416,61.8,209,1,True,False
300.6,310.3,1794,24.4,211,0,True,False
300.6,310.3,1484,41.0,213,0,True,False
300.6,310.4,2514,13.4,215,0,True,False
300.6,310.3,1648,30.5,217,1,True,False
300.6,310.3,1614,32.7,0,0,False,True
300.6,310.2,1622,34.1,3,0,True,False
300.6,310.2,1478,40.1,5,0,False,True
300.6,310.2,1318,51.0,8,0,True,False
300.7,310.2,1493,35.9,10,0,True,False
300.7,310.3,1369,50.7,12,0,False,False
300.6,310.2,1447,45.9,17,0,True,False
300.6,310.1,1485,49.9,19,0,True,False
300.6,310.2,1489,47.8,21,0,True,False
300.6,310.2,1233,52.3,23,0,False,True
300.7,310.2,1642,32.6,26,0,True,False
300.7,310.2,1373,44.1,28,0,False,True
300.7,310.2,1569,32.8,31,0,True,False
300.8,310.2,1850,22.8,33,0,True,False
300.8,310.3,1494,42.2,35,0,False,True
300.8,310.3,1777,30.1,38,0,False,False
300.9,310.4,1454,43.1,43,0,True,False
300.9,310.4,1536,34.2,45,0,True,False
300.8,310.5,1482,39.0,47,0,True,False
300.9,310.5,1512,41.2,49,0,False,False
300.8,310.5,1511,35.8,54,0,False,True
300.9,310.5,1599,40.5,57,0,True,False
300.8,310.4,1518,36.0,59,0,False,True
300.8,310.4,1450,39.4,62,0,False,True
300.9,310.4,1427,47.0,65,0,True,False
300.9,310.4,1561,32.7,67,0,True,False
300.9,310.4,1457,43.8,69,0,False,False
301.0,310.6,1460,53.6,74,0,False,True
301.0,310.5,1601,33.2,77,0,True,False
300.9,310.5,1570,40.1,79,0,True,False
300.9,310.5,1565,35.9,81,0,True,False
301.0,310.5,1378,44.4,83,0,True,False
300.9,310.5,2288,16.1,85,0,True,False
300.9,310.4,1375,44.7,87,0,False,True
300.9,310.4,1788,27.8,90,0,True,False
300.9,310.4,1576,40.4,92,0,False,True
300.8,310.3,1868,24.5,95,0,False,True
300.7,310.1,1261,56.6,98,0,True,False
300.6,310.0,1542,33.9,100,0,False,True
300.6,310.0,1438,53.8,103,0,True,False
300.6,310.0,1511,36.9,105,0,True,False
300.6,310.0,1635,31.0,107,0,True,False
300.6,309.9,1428,48.8,109,0,True,False
300.5,309.8,1410,44.4,111,0,False,True
300.5,309.9,1423,47.9,114,0,True,False
300.5,309.9,1552,41.3,116,0,False,True
300.5,310.0,1406,50.2,119,0,False,True
300.5,309.9,1443,48.3,122,0,True,False
300.5,309.9,1343,63.7,124,0,False,True
300.6,310.0,1486,41.2,127,0,False,True
300.6,310.1,1297,50.0,130,0,True,False
300.6,310.1,1495,42.3,132,0,True,False
300.5,309.9,1382,46.5,134,0,True,False
300.4,309.8,1356,44.4,136,0,False,True
300.3,309.7,1452,41.5,139,0,False,False
300.3,309.7,1582,30.8,144,0,False,False
300.4,309.8,1517,40.3,149,0,False,True
300.5,310.0,1413,44.5,152,0,True,False
300.4,309.9,1496,31.8,154,0,True,False
300.3,309.8,1466,41.2,156,0,True,False
300.3,309.8,1617,40.8,158,0,False,True
300.2,309.8,1506,41.8,161,0,True,False
300.2,309.8,1401,49.3,163,0,True,False
300.2,309.9,1906,22.9,165,0,False,False
300.2,309.9,1566,36.4,170,0,True,False
300.2,310.0,1493,47.3,172,0,True,False
300.3,310.1,1483,39.9,174,0,True,False
300.2,309.9,1569,31.2,176,0,False,True
300.2,310.0,1664,30.7,179,0,False,True
300.2,310.0,1486,40.1,182,0,True,False
300.2,310.0,1389,53.6,184,0,True,False
300.1,310.0,1511,41.7,186,0,True,False
300.2,310.1,1485,40.5,188,0,False,True
300.2,310.2,1440,42.9,191,0,True,False
300.2,310.2,1378,43.9,193,0,True,False
300.1,310.1,1501,39.3,195,0,False,True
300.2,310.1,1474,44.0,198,0,False,True
300.2,310.1,1392,47.9,201,0,True,False
300.3,310.2,1429,44.7,203,0,False,True
300.3,310.3,1362,60.3,206,1,True,False
