ts,cpu_pct,mem_used_gb,mem_pct
1777914176.27,20.3,10.056,32.8
1777914177.27,17.9,10.388,33.9
1777914178.27,12.8,10.889,35.5
1777914179.27,21.3,11.395,37.2
1777914180.27,16.3,11.526,37.6
1777914181.27,20.8,11.542,37.7
1777914182.27,30.4,11.764,38.4
1777914183.27,47.8,11.755,38.4
1777914184.27,60.0,11.877,38.8
1777914185.27,58.9,11.917,38.9
1777914186.27,62.8,11.912,38.9
1777914187.28,68.6,11.966,39.1
1777914188.28,68.8,11.976,39.1
1777914189.28,68.5,11.957,39.0
1777914190.28,67.9,11.955,39.0
1777914191.28,72.9,11.959,39.0
1777914192.28,74.2,11.75,38.4
1777914193.28,73.5,11.745,38.3
1777914194.28,74.4,11.741,38.3
1777914195.28,73.5,11.732,38.3
1777914196.28,74.0,11.731,38.3
1777914197.28,74.2,11.729,38.3
1777914198.28,74.0,11.732,38.3
1777914199.28,74.1,11.74,38.3
1777914200.28,74.0,11.747,38.3
1777914201.28,73.8,11.749,38.3
1777914202.28,74.6,11.75,38.4
1777914203.28,74.2,11.732,38.3
1777914204.28,74.3,11.742,38.3
1777914205.28,74.0,11.744,38.3
1777914206.28,73.0,11.75,38.4
1777914207.28,75.5,11.751,38.4
1777914208.28,75.3,11.755,38.4
1777914209.28,74.5,11.75,38.4
1777914210.28,73.8,11.747,38.3
1777914211.28,74.8,11.744,38.3
1777914212.28,74.8,11.744,38.3
1777914213.29,74.7,11.743,38.3
1777914214.29,73.9,11.745,38.3
1777914215.29,73.3,11.745,38.3
1777914216.29,72.5,11.744,38.3
1777914217.29,74.2,11.735,38.3
1777914218.29,74.9,11.732,38.3
1777914219.29,77.7,11.727,38.3
1777914220.29,74.1,11.725,38.3
1777914221.29,75.6,11.724,38.3
1777914222.29,75.7,11.724,38.3
1777914223.29,78.2,11.751,38.4
1777914224.29,75.5,11.755,38.4
1777914225.29,76.2,11.755,38.4
1777914226.29,75.0,11.755,38.4
1777914227.29,76.3,11.754,38.4
1777914228.29,76.4,11.749,38.3
1777914229.29,76.2,11.749,38.3
1777914230.29,76.2,11.747,38.3
1777914231.29,76.3,11.746,38.3
1777914232.29,75.4,11.739,38.3
1777914233.29,76.3,11.738,38.3
1777914234.29,78.1,11.741,38.3
1777914235.29,77.6,11.74,38.3
1777914236.29,76.2,11.74,38.3
1777914237.29,75.2,11.74,38.3
1777914238.3,76.0,11.741,38.3
1777914239.3,75.2,11.741,38.3
1777914240.3,76.1,11.741,38.3
1777914241.3,78.4,11.759,38.4
1777914242.3,76.4,11.76,38.4
1777914243.3,75.4,11.761,38.4
1777914244.3,75.6,11.761,38.4
1777914245.3,78.5,11.761,38.4
1777914246.3,75.9,11.761,38.4
1777914247.3,75.4,11.761,38.4
1777914248.3,76.3,11.761,38.4
1777914249.3,75.7,11.761,38.4
1777914250.3,76.1,11.761,38.4
1777914251.3,75.8,11.761,38.4
1777914252.3,57.0,11.762,38.4
1777914253.3,31.6,11.758,38.4
1777914254.3,29.1,11.564,37.7
1777914255.3,27.4,11.464,37.4
1777914256.3,26.5,11.464,37.4
1777914257.3,16.9,11.467,37.4
1777914258.3,8.1,11.475,37.5
1777914259.3,9.3,11.281,36.8
1777914260.3,7.6,11.293,36.9
1777914261.31,7.5,11.293,36.9
1777914262.31,10.4,11.515,37.6
1777914263.31,46.0,11.672,38.1
1777914264.31,54.2,11.797,38.5
1777914265.31,60.7,11.896,38.8
1777914266.31,56.4,11.926,38.9
1777914267.31,65.8,12.004,39.2
1777914268.31,70.3,12.059,39.4
1777914269.31,67.6,11.995,39.2
1777914270.31,69.7,11.998,39.2
1777914271.31,69.1,11.846,38.7
1777914272.31,75.1,11.846,38.7
1777914273.31,74.1,11.845,38.7
1777914274.31,73.8,11.827,38.6
1777914275.31,74.4,11.82,38.6
1777914276.31,74.0,11.821,38.6
1777914277.31,73.8,11.817,38.6
1777914278.31,74.9,11.801,38.5
1777914279.31,74.0,11.794,38.5
1777914280.31,73.5,11.792,38.5
1777914281.31,73.9,11.787,38.5
1777914282.31,73.6,11.78,38.4
1777914283.31,75.9,11.789,38.5
1777914284.31,75.3,11.797,38.5
1777914285.31,73.1,11.804,38.5
1777914286.31,73.2,11.802,38.5
