ts,cpu_pct,mem_used_gb,mem_pct
1777915246.57,25.9,9.986,32.6
1777915247.57,18.1,10.115,33.0
1777915248.57,19.5,10.264,33.5
1777915249.57,22.4,10.39,33.9
1777915250.57,25.7,10.666,34.8
1777915251.57,10.1,10.717,35.0
1777915252.58,17.7,10.765,35.1
1777915253.58,32.7,10.825,35.3
1777915254.58,11.5,11.069,36.1
1777915255.58,63.2,11.538,37.7
1777915256.58,45.6,11.662,38.1
1777915257.58,43.5,11.668,38.1
1777915258.58,25.8,11.717,38.2
1777915259.58,78.2,11.905,38.9
1777915260.58,68.0,12.091,39.5
1777915261.58,62.4,12.082,39.4
1777915262.58,59.6,12.075,39.4
1777915263.58,62.1,12.08,39.4
1777915264.58,62.2,12.08,39.4
1777915265.58,56.5,12.089,39.5
1777915266.58,51.6,12.243,40.0
1777915267.58,14.2,12.045,39.3
1777915268.58,1.9,9.819,32.0
